time,plc,restored_flag
2022-09-08 18:45:39,2,0
2022-09-08 18:45:39,4,0
2022-09-08 18:45:39,5,0
2022-09-08 18:45:39,7,0
2022-09-08 18:45:39,9,0
2022-09-08 18:45:39,17,0
2022-09-08 18:45:39,19,0
2022-09-08 18:45:39,18,0
2022-09-08 18:45:39,8,0
2022-09-08 18:45:39,14,0
2022-09-08 18:45:39,21,0
2022-09-08 18:45:39,22,0
2022-09-08 18:45:39,24,0
2022-09-08 18:45:39,25,0
2022-09-08 18:45:39,28,0
2022-09-08 18:45:39,33,0
2022-09-08 18:45:39,32,0
2022-09-08 18:45:39,40,0
2022-09-08 18:45:39,37,0
2022-09-08 18:45:39,38,0
2022-09-09 00:00:39,41,0
2022-09-08 18:45:39,43,0
2022-09-08 18:45:39,44,0
2022-09-08 18:45:39,45,0
2022-09-08 18:45:39,46,0
2022-09-09 00:00:39,47,0
2022-09-08 18:45:39,48,0
2022-09-08 18:45:39,50,0
2022-09-08 18:45:39,51,0
2022-09-08 18:45:39,53,0
2022-09-08 18:45:39,54,0
2022-09-08 18:45:39,56,0
2022-09-08 18:45:39,57,0
