plc_id,median_max_forward,median_max_reverse,max_forward,max_reverse
2,-1,-1,-1,-1
4,-1,-1,-1,-1
5,-1,-1,-1,-1
7,-1,-1,-1,-1
9,67.5,59.4,-1,-1
17,-1,-1,-1,-1
19,184.8,161.7,-1,-1
18,148.8,126.9,-1,-1
8,-1,-1,-1,-1
14,-1,-1,-1,-1
21,131.7,109.5,-1,-1
22,-1,-1,-1,-1
24,-1,-1,-1,-1
25,-1,-1,-1,-1
28,-1,-1,-1,-1
33,200.0,179.6,-1,-1
32,200.4,180.4,-1,-1
40,210.4,183.2,-1,-1
37,-1,-1,-1,-1
38,-1,-1,-1,-1
41,235.2,193.6,-1,-1
43,215.4,191.4,-1,-1
44,226.2,201.6,-1,-1
45,-1,-1,-1,-1
46,-1,-1,-1,-1
47,201.0,176.7,-1,-1
48,216.0,186.3,-1,-1
50,-1,-1,-1,-1
51,-1,-1,-1,-1
53,232.4,193.2,-1,-1
54,237.2,194.0,-1,-1
56,-1,-1,-1,-1
57,-1,-1,-1,-1
59,222.0,193.6,-1,-1
60,223.6,190.8,-1,-1
62,-1,-1,-1,-1
63,-1,-1,-1,-1
70,220.8,187.6,-1,-1
71,204.8,178.0,-1,-1
72,-1,-1,-1,-1
74,-1,-1,-1,-1
75,-1,-1,-1,-1
77,-1,-1,-1,-1

