_id,median_max_forward,median_max_reverse,plc,time
6336b1ec233402ab79d17470,-1,-1,2,2022-09-30T17:07:56.000Z
6336b1ec233402ab79d17472,-1,-1,4,2022-09-30T17:07:56.000Z
6336b1ed233402ab79d17474,-1,-1,5,2022-09-30T17:07:57.000Z
6336b1ed233402ab79d17476,-1,-1,7,2022-09-30T17:07:57.000Z
6336b1ee233402ab79d17479,-1,-1,17,2022-09-30T17:07:58.000Z
6336b1ef233402ab79d1747d,-1,-1,8,2022-09-30T17:07:59.000Z
6336b1f0233402ab79d1747f,-1,-1,14,2022-09-30T17:08:00.000Z
6336b1f0233402ab79d17482,-1,-1,22,2022-09-30T17:08:00.000Z
6336b1f1233402ab79d17484,-1,-1,24,2022-09-30T17:08:01.000Z
6336b1f1233402ab79d17486,-1,-1,25,2022-09-30T17:08:01.000Z
6336b1f1233402ab79d17488,-1,-1,28,2022-09-30T17:08:01.000Z
6336b1f3233402ab79d1748d,-1,-1,37,2022-09-30T17:08:03.000Z
6336b1f3233402ab79d1748f,-1,-1,38,2022-09-30T17:08:03.000Z
6336b1f4233402ab79d17492,193.8,168.6,43,2022-09-30T17:08:04.000Z
6336b1f5233402ab79d17494,199.5,170.1,44,2022-09-30T17:08:05.000Z
6336b1f5233402ab79d17496,-1,-1,45,2022-09-30T17:08:05.000Z
6336b1f5233402ab79d17498,-1,-1,46,2022-09-30T17:08:05.000Z
6336b1f7233402ab79d1749c,-1,-1,50,2022-09-30T17:08:07.000Z
6336b1f7233402ab79d1749e,-1,-1,51,2022-09-30T17:08:07.000Z
6336b1f8233402ab79d174a2,-1,-1,56,2022-09-30T17:08:08.000Z
6336b1f8233402ab79d174a4,-1,-1,57,2022-09-30T17:08:08.000Z
6336b1fa233402ab79d174a6,222,193.6,59,2022-09-30T17:08:08.000Z
6336b1fb233402ab79d174a8,223.6,190.8,60,2022-09-30T17:08:10.000Z
6323e516c57f39f4d5f950ac,87.6,78.6,9,2022-09-16T10:53:07.000Z
63204da424b2e737c9901586,148.8,126.9,18,2022-09-13T17:30:11.000Z
63204da324b2e737c9901584,184.8,161.7,19,2022-09-13T17:30:10.000Z
63204da524b2e737c990158c,131.7,109.5,21,2022-09-13T17:30:13.000Z
63204da724b2e737c9901596,200,179.6,33,2022-09-13T17:30:14.000Z
63204da824b2e737c9901598,200.4,180.4,32,2022-09-13T17:30:15.000Z
632b36e4233402ab79d146c0,215.6,184.4,40,2022-09-22T00:08:02.000Z
63204dab24b2e737c99015a0,235.2,193.6,41,2022-09-13T17:30:18.000Z
63204dae24b2e737c99015aa,180,156.3,47,2022-09-13T17:30:21.000Z
63204daf24b2e737c99015ac,216,186.3,48,2022-09-13T17:30:22.000Z
63204db124b2e737c99015b2,232.4,193.2,53,2022-09-13T17:30:24.000Z
63204db224b2e737c99015b4,237.2,194,54,2022-09-13T17:30:25.000Z
